HPI_rank,Country,ISO,,Continent,Population_thousands,Life Expectancy_years,Ladder_of_life_Wellbeing,Ecological_Footprint_gha,HPI,Biocapacity_year_gha,GDP_per_capita
143,Luxembourg,LUX,2019LUX,3,615.73,82.3,7.404015541,12.58940703,31.72336953,1.56,114304.0442
144,Trinidad and Tobago,TTO,2019TTO,1,1394.969,73.5,6.191859722,8.243828751,31.61280299,1.56,26175.83698
145,Chad,TCD,2019TCD,5,15946.882,54.2,4.250799179,1.671389473,30.36278983,1.56,1579.626695
146,Afghanistan,AFG,2019AFG,6,38041.757,64.8,2.375091791,0.732091747,29.40920321,1.56,2065.036398
147,Sierra Leone,SLE,2019SLE,5,7813.207,54.7,3.447381496,0.966944784,29.01673937,1.56,1718.276712
148,Zimbabwe,ZWE,2019ZWE,5,14645.473,61.5,2.693523169,0.980442271,28.64019133,1.56,2835.948532
149,Lesotho,LSO,2019LSO,5,2125.267,54.3,3.5117805,1.453869813,27.30855036,1.56,2704.415261
150,Central African Republic,CAF,2019CAF,5,4745.179,53.3,3.08446157,1.20802659,25.21146334,1.56,944.8680935
151,Mongolia,MNG,2019MNG,8,3225.166,69.9,5.562905312,10.08471331,24.46703662,1.56,12316.78755
152,Qatar,QAT,2019QAT,4,2832.071,80.2,6.374529362,15.03758856,24.32655376,1.56,90043.92618
